RESPONSE;CODER;PTYNAME;PTYID;PGID;COUNTRY;CTRYID;YEAR;EUROPARTY;PARTYFAM1;PARTYFAM2;PARTYFAM3;CR2PTYFED;CR9DUESSTATE;CR12MBRNUM;CR13MBRYR;CR14AFFL;CR15AFFLYR;CR16ALLMBR;CR17ALLYR;CR20PPGLDR;CR21ORGLDR;CR22TOPCAND;CR23POLLDR;A4RECPARTYTXT;A5RECPPGTXT;A36MBRSTATE;A47LOWNAME;A67CONOTHER;A77EXCOTHER;A91EXCWOMTXT;A92EXCETHTXT;B2BALLOTTXT;B3CANLAW1TXT;B4CANLAW2TXT;B18CANWOMTXT;B19CANETH;B20CANETHTXT;B21CANRUL1;B22CANRUL2TXT;B23CANRUL3TXT;C11DEPUTY;C12DEPUTYTXT;C21PLTITLE;C30PLAFFLTXT;C58PLVOT2B;C59PLNAME
230;Farrell;Fine Gael;11001;1393;Ireland;11;2002;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Leader;No role.;-999;Enda Kenny
231;Farrell;Fine Gael;11001;1393;Ireland;11;2011;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;"Candidates may nominate themselves and be nominated by a DÃ¡il elector for the constituency. The latest date for nominating a person as a candidate is 12 noon on the seventh day after the issue of the writs. A candidate may have their photograph included on the ballot paper by providing a photograph in the specified format with their nomination. A candidate may also include party affiliation and a party emblem. If the candidate has no party affiliation they may describe themselves as ""non-party"" or leave the appropriate space blank. Candidates not in possession of a certificate of political affiliation must comply with one or other of the following procedures before the expiration of the time for receiving nominations: (i) the completion of statutory declarations by 30 assentors to the nomination who are registered as DÃ¡il electors in the relevant constituency. (ii) Alternatively, the candidate may lodge a deposit of â¬500 with the returning officer.";No legal rules.;No legal rules.;No rules.;2;No rules.;1;Members of registered branches can vote at conventions.;Constituency executives responsible for establishing and administering conventions to select candidates.;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
232;Farrell;Fine Gael;11001;1393;Ireland;11;2012;1;1;1;1;1;Not Applicable;35000;2013;-999;-999;35000;2013;Enda Kenny;Enda Kenny;Enda Kenny;Enda Kenny;To be registered, the party:1. must be organised to contest elections;;;;;;;;;;;;;;;;;;;;;;
233;Farrell;Fine Gael;11001;1393;Ireland;11;2013;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
234;Farrell;Fine Gael;11001;1393;Ireland;11;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
235;Farrell;Labour Party;11002;318;Ireland;11;2011;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;"Candidates may nominate themselves and be nominated by a DÃ¡il elector for the constituency. A candidate may have their photograph included on the ballot paper by providing a photograph in the specified format with their nomination. A candidate may also include party affiliation and a party emblem. If the candidate has no party affiliation they may describe themselves as ""non-party"" or leave the appropriate space blank. / Candidates not in possession of a certificate of political affiliation must comply with one or other of the following procedures before the expiration of the time for receiving nominations: (i) the completion of statutory declarations by 30 assentors to the nomination who are registered in the relevant constituency. (ii) Alternatively, the candidate may lodge a deposit of â¬500 with the returning officer.";No legal rules.;No legal rules.;Where there is more than 1 candidate in a constituency, gender rules âmay be prescribedâ.;2;No rules.;1;OMOV for branch members.;Constituency conventions administer the selection process.;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
236;Farrell;Labour Party;11002;318;Ireland;11;2012;2;2;2;2;5;Not Applicable;5000;-888;-999;-999;5000;-888;Eamon Gilmore;Eamon Gilmore;Eamon Gilmore;Eamon Gilmore;To be registered, the party:1. must be organised to contest elections;;;;;;;;;;;;;;;;;;;;;;
237;Farrell;Labour Party;11002;318;Ireland;11;2013;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
238;Farrell;Labour Party;11002;318;Ireland;11;2014;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Leader;No role.;-999;Joan Burton
239;Farrell;Fianna FÃ¡il;11003;280;Ireland;11;2011;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;"Candidates may nominate themselves and be nominated by a DÃ¡il elector for the constituency. A candidate may have their photograph included on the ballot paper by providing a photograph in the specified format with their nomination. A candidate may also include party affiliation and a party emblem. If the candidate has no party affiliation they may describe themselves as ""non-party"" or leave the appropriate space blank. / Candidates not in possession of a certificate of political affiliation must comply with one or other of the following procedures before the expiration of the time for receiving nominations: (i) the completion of statutory declarations by 30 assentors to the nomination who are registered in the relevant constituency. (ii) Alternatively, the candidate may lodge a deposit of â¬500 with the returning officer. /";No legal rules.;No legal rules.;No rules.;2;No rules.;1;No role.;Constituency organization is responsible for organizing candidate selection. The selection takes place at constituency level, with the selection convention comprising three delegates from each branch.;;;;;;
240;Farrell;Fianna FÃ¡il;11003;280;Ireland;11;2012;3;3;3;3;6;Not Applicable;19600;2013;-999;-999;19600;2013;MicheÃ¡l Martin;MicheÃ¡l Martin;MicheÃ¡l Martin;MicheÃ¡l Martin;To be registered, the party:1. must be organised to contest elections;;;;;;;;;;;;;;;;;;;;;;
241;Farrell;Fianna FÃ¡il;11003;280;Ireland;11;2013;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
242;Farrell;Fianna FÃ¡il;11003;280;Ireland;11;2014;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
243;Farrell;Sinn FÃ©in;11004;433;Ireland;11;2011;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;"Candidates may nominate themselves and be nominated by a DÃ¡il elector for the constituency. A candidate may have their photograph included on the ballot paper by providing a photograph in the specified format with their nomination. A candidate may also include party affiliation and a party emblem. If the candidate has no party affiliation they may describe themselves as ""non-party"" or leave the appropriate space blank. / Candidates not in possession of a certificate of political affiliation must comply with one or other of the following procedures before the expiration of the time for receiving nominations: (i) the completion of statutory declarations by 30 assentors to the nomination who are registered in the relevant constituency. (ii) Alternatively, the candidate may lodge a deposit of â¬500 with the returning officer.";No legal rules.;No legal rules.;No rules.;2;No rules.;1;Unclear from the constitution, but may be in the additional rules. There is reference to candidate conventions. SES: code as missing?;Unclear;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
244;Farrell;Sinn FÃ©in;11004;433;Ireland;11;2012;-999;5;5;5;6;Not Applicable;10053;2013;-999;-999;10053;2013;Gerry Adams;Gerry Adams;Gerry Adams;Gerry Adams;To be registered, the party:1. must be organised to contest elections;;;;;;;;;;;;;;;;;;;;;;
245;Farrell;Sinn FÃ©in;11004;433;Ireland;11;2013;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
246;Farrell;Sinn FÃ©in;11004;433;Ireland;11;2014;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;President;No role.;-999;Gerry Adams
247;Farrell;Green Party;11005;1573;Ireland;11;2011;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;"Candidates may nominate themselves and be nominated by a DÃ¡il elector for the constituency. A candidate may have their photograph included on the ballot paper by providing a photograph in the specified format with their nomination. A candidate may also include party affiliation and a party emblem. If the candidate has no party affiliation they may describe themselves as ""non-party"" or leave the appropriate space blank. / Candidates not in possession of a certificate of political affiliation must comply with one or other of the following procedures before the expiration of the time for receiving nominations: (i) the completion of statutory declarations by 30 assentors to the nomination who are registered in the relevant constituency. (ii) Alternatively, the candidate may lodge a deposit of â¬500 with the returning officer.";No legal rules.;No legal rules.;No rules.;2;No rules.;1;Reference to a selection meeting, but few details in the Constitution (separate Rules and Procedures).;Constituency group administers the selection meeting.;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
248;Farrell;Green Party;11005;1573;Ireland;11;2012;4;4;4;4;2;Not Applicable;-888;2012;-999;-999;-888;2012;Not Applicable;Eamon Ryan;Eamon Ryan;Eamon Ryan;To be registered, the party:1. must be organised to contest elections;;;;;;;;;;;;;;;;;;;;;;
249;Farrell;Green Party;11005;1573;Ireland;11;2013;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
250;Farrell;Green Party;11005;1573;Ireland;11;2014;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
251;Rahat and Dolinsky;Kadima;12001;1870;Israel;12;2011;-999;3;3;3;6;Not Applicable;79658;2009;-999;-999;79658;2009;Tzipi Livni;Tzipi Livni;Tzipi Livni;Tzipi Livni;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
252;Rahat and Dolinsky;Kadima;12001;1870;Israel;12;2012;-999;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Party Chair;No role.;-999;Shaul Mofaz
253;Rahat and Dolinsky;Kadima;12001;1870;Israel;12;2013;-999;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
254;Rahat and Dolinsky;Kadima;12001;1870;Israel;12;2014;-999;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
255;Rahat and Dolinsky;Likud;12002;678;Israel;12;2011;-999;6;6;6;6;Not Applicable;145000;2010;-999;-999;145000;2010;Benjamin Netanyahu;Benjamin Netanyahu;Benjamin Netanyahu;Benjamin Netanyahu;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
256;Rahat and Dolinsky;Likud;12002;678;Israel;12;2012;-999;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Party Chair;No role.;-999;Binyamin Nethanyahu
257;Rahat and Dolinsky;Likud;12002;678;Israel;12;2013;-999;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
258;Rahat and Dolinsky;Likud;12002;678;Israel;12;2014;-999;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
259;Rahat and Dolinsky;Yisrael Beiteinu;12003;1816;Israel;12;2011;-999;7;7;6;6;Not Applicable;1700;2011;-999;-999;1700;2011;Avigdor Liberman;Avigdor Liberman;Avigdor Liberman;Avigdor Liberman;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
260;Rahat and Dolinsky;Yisrael Beiteinu;12003;1816;Israel;12;2012;-999;7;7;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
261;Rahat and Dolinsky;Yisrael Beiteinu;12003;1816;Israel;12;2013;-999;7;7;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
262;Rahat and Dolinsky;Yisrael Beiteinu;12003;1816;Israel;12;2014;-999;7;7;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
263;Rahat and Dolinsky;Labor Party;12004;244;Israel;12;2011;-999;2;2;2;5;Not Applicable;66310;2011;-999;-999;66310;2011;Sheli Yehimovich;Sheli Yehimovich;Sheli Yehimovich;Sheli Yehimovich;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Party Chair;No role.;-999;sheki yehimovich
264;Rahat and Dolinsky;Labor Party;12004;244;Israel;12;2012;-999;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
265;Rahat and Dolinsky;Labor Party;12004;244;Israel;12;2013;-999;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
266;Rahat and Dolinsky;Labor Party;12004;244;Israel;12;2014;-999;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
267;Rahat and Dolinsky;Shas;12005;788;Israel;12;2011;-999;-999;-999;-999;6;Not Applicable;-888;2011;-999;-999;-888;2011;Eli Yishai;Rabbi Ovadia Yosef;Eli Yishai;Eli Yishai;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
268;Rahat and Dolinsky;Shas;12005;788;Israel;12;2012;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
269;Rahat and Dolinsky;Shas;12005;788;Israel;12;2013;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
270;Rahat and Dolinsky;Shas;12005;788;Israel;12;2014;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
271;Rahat and Dolinsky;Agudat Yisrael;12006;265;Israel;12;2011;-999;-999;-999;-999;6;Not Applicable;-888;2011;-999;-999;-888;2011;Jacob Litzman;Unclear;Not Applicable;Not Applicable;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
272;Rahat and Dolinsky;Agudat Yisrael;12006;265;Israel;12;2012;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
273;Rahat and Dolinsky;Agudat Yisrael;12006;265;Israel;12;2013;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
274;Rahat and Dolinsky;Agudat Yisrael;12006;265;Israel;12;2014;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
275;Rahat and Dolinsky;Hadash;12008;732;Israel;12;2011;-999;5;5;5;6;Not Applicable;-888;2011;-999;-999;-888;2011;Muhammad Barake;Muhammad Barake;Muhammad Barake;Muhammad Barake;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
276;Rahat and Dolinsky;Hadash;12008;732;Israel;12;2012;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
277;Rahat and Dolinsky;Hadash;12008;732;Israel;12;2013;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
278;Rahat and Dolinsky;Hadash;12008;732;Israel;12;2014;-999;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
279;Rahat and Dolinsky;Meretz;12009;1419;Israel;12;2011;-999;2;2;2;5;Not Applicable;5000;2010;-999;-999;5000;2010;Zehava Galon;Zehava Galon;Zehava Galon;Zehava Galon;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
280;Rahat and Dolinsky;Meretz;12009;1419;Israel;12;2012;-999;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Party Chair;No role.;-999;Zehava Galon
281;Rahat and Dolinsky;Meretz;12009;1419;Israel;12;2013;-999;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
282;Rahat and Dolinsky;Meretz;12009;1419;Israel;12;2014;-999;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
283;Rahat and Dolinsky;National Religious Party;12010;214;Israel;12;2011;-999;-999;-999;-999;6;Not Applicable;54000;2012;-999;-999;54000;2012;Daniel Hershkowitz;Daniel Hershkowitz;Not Applicable;Not Applicable;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-999;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
284;Rahat and Dolinsky;National Religious Party;12010;214;Israel;12;2012;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair;No role.;-999;Naftali Benet
285;Rahat and Dolinsky;National Religious Party;12010;214;Israel;12;2013;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;A party will not be registered if its goals or actions, expressly or implicitly, include any of the following: a. Deny the existence of Israel as a Jewish and democratic state;;;;;;;;;;;;;;;;;;;;;;
286;Rahat and Dolinsky;National Religious Party;12010;214;Israel;12;2014;-999;-999;-999;-999;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
